Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/29/20 19:30,3554,125.0,88.0
Zhejiang,China,1/29/20 19:30,296,,3.0
Guangdong,China,1/29/20 19:30,277,,5.0
Hunan,China,1/29/20 19:30,221,,
Henan,China,1/29/20 19:30,206,2.0,1.0
Anhui,China,1/29/20 19:30,152,,2.0
Chongqing,China,1/29/20 19:30,147,,1.0
Shandong,China,1/29/20 19:30,130,,1.0
Beijing,China,1/29/20 19:30,111,1.0,4.0
Jiangxi,China,1/29/20 19:30,109,,3.0
Sichuan,China,1/29/20 19:30,108,1.0,1.0
Jiangsu,China,1/29/20 19:30,99,,1.0
Shanghai,China,1/29/20 19:30,96,1.0,5.0
Fujian,China,1/29/20 19:30,84,,
Guangxi,China,1/29/20 19:30,58,,2.0
Shaanxi,China,1/29/20 19:30,56,,
Yunnan,China,1/29/20 19:30,55,,
Hebei,China,1/29/20 19:30,48,1.0,
Hainan,China,1/29/20 19:30,43,1.0,
Liaoning,China,1/29/20 19:30,39,,1.0
Heilongjiang,China,1/29/20 19:30,38,1.0,
Tianjin,China,1/29/20 19:30,27,,
Shanxi,China,1/29/20 19:30,27,,1.0
Gansu,China,1/29/20 19:30,24,,
Inner Mongolia,China,1/29/20 19:30,16,,
Xinjiang,China,1/29/20 19:30,13,,
Ningxia,China,1/29/20 19:30,12,,
Hong Kong,Hong Kong,1/29/20 19:30,10,,
Guizhou,China,1/29/20 19:30,9,,1.0
Jilin,China,1/29/20 19:30,9,,
Taiwan,"Taiwan, Province of China",1/29/20 19:30,8,,
Macau,Macao,1/29/20 19:30,7,,
Qinghai,China,1/29/20 19:30,6,,
Washington,United States,1/29/20 19:30,1,,
Illinois,United States,1/29/20 19:30,1,,
California,United States,1/29/20 19:30,2,,
Arizona,United States,1/29/20 19:30,1,,
,Japan,1/29/20 19:30,7,,1.0
,Thailand,1/29/20 19:30,14,,5.0
,"Korea, Republic of",1/29/20 19:30,4,,
,Singapore,1/29/20 19:30,7,,
,Viet Nam,1/29/20 19:30,2,,
,France,1/29/20 19:30,5,,
,Nepal,1/29/20 19:30,1,,
,Malaysia,1/29/20 19:30,7,,
Ontario,Canada,1/29/20 19:30,1,,
British Columbia,Canada,1/29/20 19:30,1,,
,Cambodia,1/29/20 19:30,1,,
,Sri Lanka,1/29/20 19:30,1,,
New South Wales,Australia,1/29/20 19:30,4,,
Victoria,Australia,1/29/20 19:30,1,,
Bavaria,Germany,1/29/20 19:30,4,,
,Finland,1/29/20 19:30,1,,
,United Arab Emirates,1/29/20 19:30,4,,
