Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,China,1/22/2020 17:00,1.0,,
Beijing,China,1/22/2020 17:00,14.0,,
Chongqing,China,1/22/2020 17:00,6.0,,
Fujian,China,1/22/2020 17:00,1.0,,
Gansu,China,1/22/2020 17:00,,,
Guangdong,China,1/22/2020 17:00,26.0,,
Guangxi,China,1/22/2020 17:00,2.0,,
Guizhou,China,1/22/2020 17:00,1.0,,
Hainan,China,1/22/2020 17:00,4.0,,
Hebei,China,1/22/2020 17:00,1.0,,
Heilongjiang,China,1/22/2020 17:00,,,
Henan,China,1/22/2020 17:00,5.0,,
Hong Kong,Hong Kong,1/22/2020 17:00,,,
Hubei,China,1/22/2020 17:00,444.0,17.0,28.0
Hunan,China,1/22/2020 17:00,4.0,,
Inner Mongolia,China,1/22/2020 17:00,,,
Jiangsu,China,1/22/2020 17:00,1.0,,
Jiangxi,China,1/22/2020 17:00,2.0,,
Jilin,China,1/22/2020 17:00,,,
Liaoning,China,1/22/2020 17:00,2.0,,
Macau,Macao,1/22/2020 17:00,1.0,,
Ningxia,China,1/22/2020 17:00,1.0,,
Qinghai,China,1/22/2020 17:00,,,
Shaanxi,China,1/22/2020 17:00,,,
Shandong,China,1/22/2020 17:00,2.0,,
Shanghai,China,1/22/2020 17:00,9.0,,
Shanxi,China,1/22/2020 17:00,1.0,,
Sichuan,China,1/22/2020 17:00,5.0,,
Taiwan,"Taiwan, Province of China",1/22/2020 17:00,1.0,,
Tianjin,China,1/22/2020 17:00,4.0,,
Tibet,China,1/22/2020 17:00,,,
Washington,United States,1/22/2020 17:00,1.0,,
Xinjiang,China,1/22/2020 17:00,,,
Yunnan,China,1/22/2020 17:00,1.0,,
Zhejiang,China,1/22/2020 17:00,10.0,,
,Japan,1/22/2020 17:00,2.0,,
,Thailand,1/22/2020 17:00,2.0,,
,"Korea, Republic of",1/22/2020 17:00,1.0,,
