Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/26/20 16:00,1058,52.0,42.0
Guangdong,China,1/26/20 16:00,111,,2.0
Zhejiang,China,1/26/20 16:00,104,,1.0
Henan,China,1/26/20 16:00,83,1.0,
Chongqing,China,1/26/20 16:00,75,,
Hunan,China,1/26/20 16:00,69,,
Beijing,China,1/26/20 16:00,68,,2.0
Anhui,China,1/26/20 16:00,60,,
Shandong,China,1/26/20 16:00,46,,
Sichuan,China,1/26/20 16:00,44,,
Shanghai,China,1/26/20 16:00,40,1.0,1.0
Guangxi,China,1/26/20 16:00,36,,
Jiangxi,China,1/26/20 16:00,36,,
Fujian,China,1/26/20 16:00,35,,
Jiangsu,China,1/26/20 16:00,33,,1.0
Hainan,China,1/26/20 16:00,22,,
Shaanxi,China,1/26/20 16:00,22,,
Liaoning,China,1/26/20 16:00,21,,
Yunnan,China,1/26/20 16:00,16,,
Heilongjiang,China,1/26/20 16:00,15,1.0,
Tianjin,China,1/26/20 16:00,14,,
Hebei,China,1/26/20 16:00,13,1.0,
Shanxi,China,1/26/20 16:00,9,,
Hong Kong,Hong Kong,1/26/20 16:00,8,,
Inner Mongolia,China,1/26/20 16:00,7,,
Gansu,China,1/26/20 16:00,7,,
Guizhou,China,1/26/20 16:00,5,,
Macau,Macao,1/26/20 16:00,5,,
Ningxia,China,1/26/20 16:00,4,,
Jilin,China,1/26/20 16:00,4,,
Taiwan,"Taiwan, Province of China",1/26/20 16:00,4,,
Xinjiang,China,1/26/20 16:00,4,,
Qinghai,China,1/26/20 16:00,1,,
Washington,United States,1/26/20 16:00,1,,
Illinois,United States,1/26/20 16:00,1,,
California,United States,1/26/20 16:00,2,,
Arizona,United States,1/26/20 16:00,1,,
,Japan,1/26/20 16:00,4,,1.0
,Thailand,1/26/20 16:00,8,,2.0
,"Korea, Republic of",1/26/20 16:00,3,,
,Singapore,1/26/20 16:00,4,,
,Viet Nam,1/26/20 16:00,2,,
,France,1/26/20 16:00,3,,
,Australia,1/26/20 16:00,4,,
,Nepal,1/26/20 16:00,1,,
,Malaysia,1/26/20 16:00,4,,
Ontario,Canada,1/26/20 16:00,1,,
