Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/27/20 23:59,1423,76.0,45.0
Guangdong,China,1/27/20 23:59,151,,4.0
Zhejiang,China,1/27/20 23:59,128,,1.0
Henan,China,1/27/20 23:59,128,1.0,
Chongqing,China,1/27/20 23:59,110,,
Hunan,China,1/27/20 23:59,100,,
Beijing,China,1/27/20 23:59,80,1.0,2.0
Shandong,China,1/27/20 23:59,75,,
Jiangxi,China,1/27/20 23:59,72,,2.0
Anhui,China,1/27/20 23:59,70,,
Sichuan,China,1/27/20 23:59,69,,
Fujian,China,1/27/20 23:59,59,,
Shanghai,China,1/27/20 23:59,53,1.0,3.0
Jiangsu,China,1/27/20 23:59,47,,1.0
Guangxi,China,1/27/20 23:59,46,,
Shaanxi,China,1/27/20 23:59,35,,
Hainan,China,1/27/20 23:59,33,1.0,
Liaoning,China,1/27/20 23:59,27,,
Yunnan,China,1/27/20 23:59,26,,
Tianjin,China,1/27/20 23:59,23,,
Heilongjiang,China,1/27/20 23:59,21,1.0,
Hebei,China,1/27/20 23:59,18,1.0,
Gansu,China,1/27/20 23:59,14,,
Shanxi,China,1/27/20 23:59,13,,
Inner Mongolia,China,1/27/20 23:59,11,,
Hong Kong,Hong Kong,1/27/20 23:59,8,,
Guizhou,China,1/27/20 23:59,7,,
Ningxia,China,1/27/20 23:59,7,,
Jilin,China,1/27/20 23:59,6,,
Macau,Macao,1/27/20 23:59,6,,
Qinghai,China,1/27/20 23:59,6,,
Taiwan,"Taiwan, Province of China",1/27/20 23:59,5,,
Xinjiang,China,1/27/20 23:59,5,,
Washington,United States,1/27/20 23:59,1,,
Illinois,United States,1/27/20 23:59,1,,
California,United States,1/27/20 23:59,2,,
Arizona,United States,1/27/20 23:59,1,,
,Japan,1/27/20 23:59,4,,1.0
,Thailand,1/27/20 23:59,8,,2.0
,"Korea, Republic of",1/27/20 23:59,4,,
,Singapore,1/27/20 23:59,5,,
,Viet Nam,1/27/20 23:59,2,,
,France,1/27/20 23:59,3,,
,Nepal,1/27/20 23:59,1,,
,Malaysia,1/27/20 23:59,4,,
Ontario,Canada,1/27/20 23:59,1,,
,Cambodia,1/27/20 23:59,1,,
,Sri Lanka,1/27/20 23:59,1,,
,Côte d'Ivoire,1/27/20 23:59,1,,
New South Wales,Australia,1/27/20 23:59,4,,
Victoria,Australia,1/27/20 23:59,1,,
